repository,created_at,updated_at,size,num_stars,num_forks
skorch-dev/skorch,2017-07-18T00:13:54Z,2025-01-24T02:27:07Z,12382,5947,394
unit8co/darts,2018-09-13T15:17:28Z,2025-01-24T15:10:53Z,203663,8275,906
gorgonia/gorgonia,2016-09-14T23:19:43Z,2025-01-23T04:18:29Z,93056,5619,435
alirezamika/autoscraper,2020-08-31T12:02:19Z,2025-01-24T10:57:36Z,117,6593,686
serengil/deepface,2020-02-08T20:42:28Z,2025-01-24T16:31:24Z,55158,17265,2400
sql-machine-learning/sqlflow,2018-10-04T06:00:50Z,2025-01-23T23:28:05Z,29014,5126,705
LibrePhotos/librephotos,2020-11-11T23:08:19Z,2025-01-24T14:35:30Z,82267,7098,317
astorfi/TensorFlow-World,2017-03-24T22:19:05Z,2025-01-21T04:05:28Z,26388,4522,415
FederatedAI/FATE,2019-01-24T10:32:43Z,2025-01-24T10:12:06Z,247160,5786,1560
flashlight/flashlight,2018-12-11T18:28:47Z,2025-01-23T21:28:32Z,16312,5315,499
BinRoot/TensorFlow-Book,2016-03-06T23:30:57Z,2025-01-23T05:53:47Z,45766,4451,1208
tensorflow/lucid,2018-01-25T17:41:44Z,2025-01-21T03:52:36Z,148135,4683,656
paperswithcode/ai-deadlines,2016-11-18T23:11:12Z,2025-01-23T14:40:39Z,1550,5739,993
okfn-brasil/serenata-de-amor,2016-06-27T20:55:11Z,2025-01-15T23:06:37Z,71003,4530,661
Spandan-Madan/DeepLearningProject,2017-07-12T16:03:24Z,2025-01-24T08:18:24Z,2519,4758,638
jessevig/bertviz,2018-12-16T16:50:42Z,2025-01-24T07:55:44Z,203130,7094,794
lauragift21/awesome-learning-resources,2018-01-19T09:02:02Z,2025-01-23T20:25:49Z,403,5484,830
MegEngine/MegEngine,2020-03-18T08:21:58Z,2025-01-24T03:34:24Z,31488,4780,541
janhuenermann/neurojs,2016-09-18T23:33:53Z,2025-01-21T20:48:02Z,19503,4394,365
accord-net/framework,2012-04-08T13:35:01Z,2025-01-23T21:04:55Z,427584,4507,1991
MorvanZhou/Tensorflow-Tutorial,2017-05-10T11:02:32Z,2025-01-13T03:19:45Z,38884,4340,1877
DataTalksClub/mlops-zoomcamp,2021-10-21T09:35:28Z,2025-01-24T13:24:57Z,11489,11385,2195
aladdinpersson/Machine-Learning-Collection,2020-03-26T07:02:40Z,2025-01-24T02:33:57Z,123603,7876,2724
DLR-RM/stable-baselines3,2020-05-05T05:52:26Z,2025-01-24T14:31:43Z,4873,9592,1739
PipelineAI/pipeline,2015-07-08T03:49:23Z,2025-01-24T11:27:04Z,94806,4173,973
lyst/lightfm,2015-07-30T08:34:00Z,2025-01-24T06:26:34Z,8085,4830,695
shimat/opencvsharp,2013-12-21T00:27:48Z,2025-01-24T06:17:03Z,72388,5489,1159
OAID/Tengine,2017-12-30T01:21:41Z,2025-01-23T01:22:13Z,18279,4430,971
mlpack/mlpack,2014-12-17T18:16:59Z,2025-01-24T13:11:22Z,272399,5206,1635
triton-inference-server/server,2018-10-04T21:10:30Z,2025-01-24T14:47:46Z,38035,8629,1512
rasbt/mlxtend,2014-08-14T01:56:16Z,2025-01-23T03:19:34Z,98436,4953,877
vespa-engine/vespa,2016-06-03T20:54:20Z,2025-01-24T16:13:38Z,453213,5925,612
NVIDIA/DIGITS,2015-03-17T16:00:20Z,2025-01-24T02:57:56Z,51156,4156,1380
HIT-SCIR/ltp,2011-06-01T15:10:15Z,2025-01-24T03:56:35Z,16300,5021,1047
pytorch/ignite,2017-11-23T17:31:21Z,2025-01-21T14:35:51Z,55771,4573,624
deepmind/learning-to-learn,2016-12-06T08:25:37Z,2025-01-24T00:02:42Z,90,4062,601
NVIDIA/DALI,2018-06-01T22:18:01Z,2025-01-23T21:14:05Z,409711,5250,629
BoltzmannEntropy/interviews.ai,2021-09-30T17:04:46Z,2025-01-24T00:03:19Z,21998,4549,298
vicky002/AlgoWiki,2014-11-27T11:17:13Z,2025-01-23T22:05:19Z,182623,4222,1162
bentoml/BentoML,2019-04-02T01:39:27Z,2025-01-24T15:18:28Z,95776,7296,802
rasbt/pattern_classification,2014-03-30T05:34:34Z,2025-01-16T18:11:37Z,112927,4160,1285
cleanlab/cleanlab,2018-05-11T01:55:21Z,2025-01-24T14:19:02Z,12064,10092,792
xviniette/FlappyLearning,2016-07-24T20:54:21Z,2025-01-24T14:41:56Z,11472,3991,495
tensorflow/rust,2016-02-05T00:32:17Z,2025-01-23T18:05:49Z,30155,5252,423
IDSIA/sacred,2014-03-31T18:05:29Z,2025-01-16T18:12:54Z,6154,4275,384
esimov/pigo,2018-05-14T07:19:03Z,2025-01-24T14:26:15Z,15175,4444,312
pixie-io/pixie,2020-02-27T00:22:45Z,2025-01-24T08:39:58Z,79253,5712,442
FluxML/Flux.jl,2016-04-01T21:11:05Z,2025-01-23T17:03:59Z,12921,4565,609
idealo/image-super-resolution,2018-11-26T13:41:13Z,2025-01-23T10:11:33Z,15347,4693,770
yahoo/TensorFlowOnSpark,2017-01-20T18:15:57Z,2025-01-24T07:41:09Z,9472,3872,942
aaronwangy/Data-Science-Cheatsheet,2021-02-05T06:01:57Z,2025-01-24T15:34:20Z,4572,5043,721
xitu/tensorflow-docs,2018-03-08T09:39:54Z,2025-01-23T08:16:06Z,4785,3811,471
tensorflow/probability,2017-10-23T23:50:54Z,2025-01-23T16:19:44Z,158536,4285,1109
googlecreativelab/teachable-machine-v1,2017-10-03T15:04:27Z,2025-01-18T22:34:26Z,4084,3855,601
wzhe06/Ad-papers,2016-08-07T08:26:26Z,2025-01-24T13:23:24Z,199699,4261,1184
microsoft/SynapseML,2017-06-05T08:23:44Z,2025-01-12T11:28:18Z,158507,5092,834
DistrictDataLabs/yellowbrick,2016-05-18T14:12:17Z,2025-01-21T22:12:33Z,80717,4307,562
goq/telegram-list,2016-08-12T16:16:12Z,2025-01-24T06:17:35Z,2750,4653,814
zotroneneis/machine_learning_basics,2018-02-19T09:55:58Z,2025-01-24T03:02:00Z,11349,4338,838
dotnet/machinelearning-samples,2018-05-25T18:43:54Z,2025-01-23T16:20:12Z,2069455,4542,2694
biolab/orange3,2013-02-22T12:52:56Z,2025-01-24T14:24:59Z,102603,4960,1030
arXivTimes/arXivTimes,2016-10-26T05:27:39Z,2025-01-22T09:38:56Z,978,3900,200
snipsco/snips-nlu,2017-02-08T16:16:36Z,2025-01-23T15:09:13Z,20278,3905,512
JWarmenhoven/ISLR-python,2015-06-14T16:14:00Z,2025-01-22T10:37:57Z,21875,4278,2429
amusi/AI-Job-Notes,2019-02-11T11:37:17Z,2025-01-24T08:28:42Z,3925,5364,645
apachecn/hands-on-ml-zh,2018-04-08T09:19:49Z,2025-01-16T10:27:35Z,43569,3737,1537
Oneflow-Inc/oneflow,2017-02-11T06:09:53Z,2025-01-24T15:40:19Z,86457,6563,730
online-ml/river,2019-01-24T15:18:26Z,2025-01-24T08:55:23Z,329612,5171,551
feast-dev/feast,2018-12-10T07:20:15Z,2025-01-24T13:58:33Z,93364,5746,1019
allegroai/clearml,2019-06-10T08:18:32Z,2025-01-24T16:21:08Z,49911,5785,661
alirezadir/Production-Level-Deep-Learning,2019-11-19T20:11:21Z,2025-01-24T00:24:57Z,15585,4396,652
pliang279/awesome-multimodal-ml,2019-05-27T23:03:48Z,2025-01-24T10:27:12Z,470,6219,861
openvenues/libpostal,2015-03-03T00:21:31Z,2025-01-24T14:02:00Z,37869,4131,423
makcedward/nlpaug,2019-03-21T03:00:17Z,2025-01-24T10:38:24Z,3365,4492,464
KaiyangZhou/deep-person-reid,2018-03-11T21:14:39Z,2025-01-23T19:37:58Z,9804,4386,1150
iterative/cml,2020-02-26T07:33:41Z,2025-01-24T05:35:54Z,17287,4062,343
r0f1/datascience,2018-11-22T09:21:49Z,2025-01-24T07:20:20Z,1555,4305,695
uber/causalml,2019-07-09T02:08:58Z,2025-01-24T02:52:49Z,111869,5190,789
justmarkham/scikit-learn-videos,2015-04-06T02:08:42Z,2025-01-24T04:43:21Z,1548,3688,2540
andri27-ts/Reinforcement-Learning,2018-08-28T11:04:16Z,2025-01-24T14:05:54Z,10493,4253,623
tensorflow/adanet,2018-06-28T20:20:24Z,2025-01-24T02:27:18Z,2575,3465,527
Azure/MachineLearningNotebooks,2018-08-17T17:29:14Z,2025-01-24T14:54:02Z,78299,4137,2524
rasbt/python-machine-learning-book-3rd-edition,2019-06-07T04:19:59Z,2025-01-24T14:34:22Z,167080,4699,2009
tensorflow/datasets,2018-09-10T21:27:22Z,2025-01-24T15:40:16Z,996916,4347,1560
gopherdata/gophernotes,2016-01-22T19:22:16Z,2025-01-22T08:47:46Z,21638,3883,260
SeldonIO/seldon-core,2017-12-20T14:51:54Z,2025-01-24T08:57:23Z,243035,4435,836
olivia-ai/olivia,2018-06-05T18:19:31Z,2025-01-21T11:47:57Z,31227,3687,355
podgorskiy/ALAE,2019-03-12T18:31:50Z,2025-01-19T10:53:06Z,213041,3518,557
ThoughtfulDev/EagleEye,2018-02-17T13:58:57Z,2025-01-24T04:49:56Z,173,4652,627
bytedance/byteps,2019-06-25T07:00:13Z,2025-01-21T03:36:56Z,21217,3658,494
microsoft/tensorwatch,2019-05-15T08:29:34Z,2025-01-03T21:48:03Z,22253,3428,360
vijishmadhavan/ArtLine,2020-11-23T11:11:19Z,2025-01-24T02:27:17Z,1133,3609,375
lucidrains/stylegan2-pytorch,2020-01-09T18:23:31Z,2025-01-24T10:36:35Z,5147,3730,590
orchest/orchest,2020-05-21T17:33:05Z,2025-01-24T07:15:21Z,28488,4101,260
Trusted-AI/adversarial-robustness-toolbox,2018-03-15T14:40:43Z,2025-01-24T13:32:12Z,640017,5008,1183
chiphuyen/python-is-cool,2019-10-21T14:21:10Z,2025-01-24T07:28:48Z,55,3554,559
alibaba/Alink,2018-09-30T06:36:11Z,2025-01-23T04:37:46Z,18863,3590,803
fastai/course-nlp,2019-05-14T20:39:05Z,2025-01-20T17:26:58Z,17096,3435,1479
tensorflow/hub,2018-03-12T07:55:42Z,2025-01-19T13:01:23Z,13656,3492,1661
TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2017-07-13T19:46:01Z,2025-01-23T22:55:59Z,1902524,3811,1621
polyaxon/polyaxon,2016-12-26T12:48:47Z,2025-01-24T07:51:58Z,126567,3595,315
hudson-and-thames/mlfinlab,2019-02-13T16:57:25Z,2025-01-24T15:02:42Z,644,4045,1162
handong1587/handong1587.github.io,2015-08-15T08:49:23Z,2025-01-21T03:55:59Z,178425,3125,992
Sophia-11/Machine-Learning-Notes,2019-09-20T05:06:57Z,2025-01-23T13:15:33Z,67207,3616,750
sbrugman/deep-learning-papers,2016-10-29T15:59:13Z,2025-01-22T10:38:28Z,64787,3191,412
MaartenGr/BERTopic,2020-09-22T14:19:29Z,2025-01-24T13:05:58Z,21563,6334,778
migueldeicaza/TensorFlowSharp,2017-01-16T04:18:28Z,2025-01-23T00:33:09Z,8583,3147,572
louisfb01/start-machine-learning,2020-09-24T11:48:46Z,2025-01-23T23:49:06Z,119,4538,586
replicate/cog,2021-02-26T23:43:09Z,2025-01-24T16:43:51Z,8433,8302,579
guillaume-chevalier/LSTM-Human-Activity-Recognition,2016-05-18T02:00:21Z,2025-01-19T09:27:32Z,1442,3364,938
wzhe06/Reco-papers,2018-05-29T17:29:04Z,2025-01-24T16:14:00Z,177084,3346,807
aksnzhy/xlearn,2017-06-10T08:09:31Z,2025-01-03T21:46:13Z,11184,3086,519
microsoft/hummingbird,2020-03-12T20:27:03Z,2025-01-22T08:19:50Z,14975,3377,280
jtablesaw/tablesaw,2016-01-01T14:58:28Z,2025-01-24T03:27:32Z,66357,3585,645
rlcode/reinforcement-learning,2017-01-13T09:30:09Z,2025-01-23T05:16:35Z,63088,3448,737
ZhaoJ9014/face.evoLVe,2019-01-04T02:22:17Z,2025-01-24T02:11:25Z,8440,3478,759
nidhaloff/igel,2020-08-27T20:54:59Z,2025-01-23T18:34:04Z,19702,3099,178
Nyandwi/machine_learning_complete,2021-09-25T11:02:35Z,2025-01-22T21:19:37Z,167602,4708,779
catalyst-team/catalyst,2018-08-20T07:56:13Z,2025-01-22T18:28:30Z,55187,3316,390
PAIR-code/lit,2020-07-28T13:07:26Z,2025-01-20T21:25:26Z,212028,3515,356
kubeflow/pipelines,2018-05-12T00:31:47Z,2025-01-23T22:26:24Z,366727,3658,1650
awslabs/gluonts,2019-05-15T17:17:29Z,2025-01-23T06:02:04Z,14597,4742,767
jmschrei/pomegranate,2014-11-24T18:36:58Z,2025-01-17T18:03:32Z,55361,3400,589
raghakot/keras-vis,2016-11-11T23:27:34Z,2025-01-23T15:47:28Z,153803,2987,659
DeepGraphLearning/LiteratureDL4Graph,2019-06-20T06:38:05Z,2025-01-03T21:48:08Z,191,3075,561
benfred/implicit,2016-04-17T03:45:23Z,2025-01-23T05:53:25Z,7873,3612,612
deepmind/dm_control,2017-12-29T18:13:15Z,2025-01-24T11:32:18Z,94937,3897,679
POSTECH-CVLab/PyTorch-StudioGAN,2020-06-19T04:09:13Z,2025-01-24T03:18:28Z,30620,3447,345
thuquant/awesome-quant,2016-05-10T14:42:34Z,2025-01-24T15:17:43Z,82,4322,897
rapidsai/cuml,2018-10-11T15:45:35Z,2025-01-24T06:45:13Z,159636,4372,548
sacridini/Awesome-Geospatial,2016-05-06T18:05:42Z,2025-01-24T16:42:56Z,2227,4278,631
shogun-toolbox/shogun,2011-04-01T10:44:32Z,2025-01-22T09:03:01Z,74465,3033,1037
graykode/nlp-roadmap,2019-09-19T07:47:34Z,2025-01-24T01:59:21Z,2737,3235,517
chrieke/awesome-satellite-imagery-datasets,2018-05-01T22:13:17Z,2025-01-21T19:44:34Z,1824,3697,644
easy-tensorflow/easy-tensorflow,2017-11-30T20:02:40Z,2025-01-14T03:34:55Z,20851,2863,367
apple/coremltools,2017-06-30T07:39:02Z,2025-01-24T09:02:05Z,84888,4532,659
pytorch/serve,2019-10-03T03:17:43Z,2025-01-23T03:04:33Z,124932,4272,871
dair-ai/Mathematics-for-ML,2022-05-21T11:24:15Z,2025-01-24T09:03:10Z,42,4785,461
weld-project/weld,2016-06-13T05:00:24Z,2025-01-22T04:21:32Z,3015,2997,256
jisungk/deepjazz,2016-04-02T01:00:05Z,2025-01-16T01:31:08Z,12222,2874,442
khuyentran1401/Data-science,2020-07-17T19:25:27Z,2025-01-24T00:03:15Z,133866,4072,1027
horance-liu/tensorflow-internals,2018-06-30T02:50:29Z,2025-01-22T05:04:34Z,106970,2893,583
louisfb01/best_AI_papers_2021,2021-11-06T16:55:30Z,2025-01-21T03:39:06Z,77,2906,238
mit-nlp/MITIE,2014-04-01T22:47:53Z,2025-01-20T09:24:56Z,10959,2931,540
maciejkula/spotlight,2017-06-25T18:52:19Z,2025-01-21T21:09:40Z,9222,3001,424
semi-technologies/weaviate,2016-03-30T15:03:17Z,2025-01-24T16:43:02Z,1003949,12112,851
microsoft/DMTK,2015-11-08T03:32:50Z,2025-01-16T01:31:22Z,17,2748,557
aimhubio/aim,2019-05-31T18:25:07Z,2025-01-23T15:06:59Z,65647,5323,331
deepjavalibrary/djl,2019-10-29T22:38:54Z,2025-01-24T16:34:41Z,49033,4269,676
MLEveryday/practicalAI-cn,2018-12-11T09:40:16Z,2025-01-24T10:20:54Z,11271,3574,800
adambielski/siamese-triplet,2018-03-06T22:25:41Z,2025-01-19T13:16:30Z,12913,3117,637
rasbt/deep-learning-book,2016-12-18T07:15:40Z,2025-01-22T20:19:00Z,11676,2791,750
ml-tooling/ml-workspace,2019-05-27T16:55:15Z,2025-01-23T18:02:04Z,13331,3468,455
heavyai/heavydb,2017-05-07T15:07:56Z,2025-01-23T03:12:59Z,455270,2965,449
salesforce/Merlion,2021-07-28T15:30:56Z,2025-01-24T15:10:45Z,106155,3513,310
srush/GPU-Puzzles,2022-07-11T18:26:08Z,2025-01-24T16:29:11Z,595,10360,893
jphall663/awesome-machine-learning-interpretability,2018-06-21T14:26:51Z,2025-01-24T07:20:57Z,2546,3709,592
ml-tooling/opyrator,2021-04-06T08:09:06Z,2025-01-19T13:23:36Z,2562,3117,159
ploomber/ploomber,2020-01-20T20:13:06Z,2025-01-22T10:20:14Z,7059,3536,237
evidentlyai/evidently,2020-11-25T15:20:08Z,2025-01-24T16:20:57Z,319594,5636,624
keithito/tacotron,2017-07-08T17:03:31Z,2025-01-24T16:38:52Z,113,2965,959
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,2025-01-24T16:25:08Z,96275,35721,6240
osmr/imgclsmob,2018-07-09T12:57:46Z,2025-01-19T07:07:23Z,16338,2990,562
dair-ai/ML-Notebooks,2022-03-26T21:39:49Z,2025-01-24T14:54:58Z,1806,3315,520
flyteorg/flyte,2019-10-21T17:40:04Z,2025-01-24T15:06:48Z,322125,5950,683
cloud-annotations/cloud-annotations,2019-01-29T14:52:41Z,2025-01-21T18:57:42Z,103659,2673,455
volcano-sh/volcano,2019-03-14T09:47:29Z,2025-01-24T03:07:11Z,87239,4373,1007
bfortuner/ml-glossary,2017-04-20T16:05:19Z,2025-01-20T20:47:13Z,8350,3036,725
huggingface/neuralcoref,2017-07-03T13:04:16Z,2025-01-23T05:52:06Z,69454,2864,478
explosion/thinc,2014-10-16T16:34:59Z,2025-01-24T12:25:47Z,11115,2826,278
robi56/Deep-Learning-for-Recommendation-Systems,2017-05-08T11:24:34Z,2025-01-24T13:26:52Z,31,2804,706
TeamHG-Memex/eli5,2016-09-15T01:04:57Z,2025-01-09T06:02:41Z,37429,2763,332
google/deepvariant,2017-11-23T01:56:22Z,2025-01-24T07:54:34Z,738765,3300,733
jbesomi/texthero,2020-04-06T15:16:05Z,2025-01-22T07:54:05Z,23184,2894,239
Cartucho/mAP,2018-03-08T11:24:23Z,2025-01-24T15:28:40Z,15081,2934,912
tensorflow/ranking,2018-12-03T20:48:57Z,2025-01-24T15:49:26Z,6392,2761,476
ourownstory/neural_prophet,2020-05-04T05:12:43Z,2025-01-24T15:01:01Z,224620,3953,488
mosaicml/composer,2021-10-12T02:38:28Z,2025-01-23T17:13:23Z,21984,5245,430
neuml/txtai,2020-08-09T19:14:59Z,2025-01-24T16:10:14Z,54302,10021,639
girls-in-ai/Girls-In-AI,2019-01-03T08:03:13Z,2025-01-23T08:25:22Z,40794,3095,479
RedstoneWill/HsuanTienLin_MachineLearning,2018-05-05T05:42:53Z,2025-01-24T02:22:29Z,216997,2730,854
montanaflynn/stats,2014-12-16T03:25:19Z,2025-01-24T12:59:14Z,310,2943,168
huggingface/knockknock,2019-03-20T13:08:55Z,2025-01-16T18:29:55Z,75,2799,236
tirthajyoti/Machine-Learning-with-Python,2017-07-17T03:06:13Z,2025-01-22T07:16:59Z,101368,3146,1809
heejkoo/Awesome-Diffusion-Models,2021-09-18T01:24:24Z,2025-01-23T22:21:13Z,1925,11348,954
stellargraph/stellargraph,2018-04-13T07:35:51Z,2025-01-21T07:54:42Z,97013,2964,435
mars-project/mars,2018-12-05T16:04:03Z,2025-01-16T10:27:53Z,38755,2708,328
SciSharp/TensorFlow.NET,2018-12-10T23:04:47Z,2025-01-22T15:46:49Z,380809,3289,529
alexlenail/NN-SVG,2015-12-17T06:43:51Z,2025-01-23T21:59:18Z,399,5262,704
NiuTrans/MTBook,2020-05-01T07:45:20Z,2025-01-22T09:38:18Z,103192,2747,762
visionml/pytracking,2019-04-03T10:17:53Z,2025-01-24T07:23:11Z,5083,3308,608
microsoft/EconML,2018-04-30T21:02:52Z,2025-01-23T08:28:43Z,45542,3938,729
dmlc/gluon-nlp,2018-04-04T20:57:13Z,2025-01-09T16:22:10Z,11414,2552,531
zzh8829/yolov3-tf2,2019-04-03T17:57:49Z,2025-01-24T10:53:32Z,4347,2510,906
aleju/papers,2016-02-19T22:44:27Z,2025-01-14T14:32:28Z,40247,2500,441
timeseriesAI/tsai,2019-09-30T09:18:31Z,2025-01-24T16:11:54Z,1546013,5404,670
jolibrain/deepdetect,2015-05-22T14:45:28Z,2025-01-23T16:59:33Z,108496,2517,562
nhivp/Awesome-Embedded,2017-09-24T02:23:36Z,2025-01-24T12:13:35Z,154,6341,957
scikit-optimize/scikit-optimize,2016-03-20T21:10:54Z,2025-01-24T16:15:06Z,9423,2752,551
zenml-io/zenml,2020-11-19T09:25:46Z,2025-01-24T13:52:19Z,567780,4347,467
saharmor/dalle-playground,2021-09-13T10:35:50Z,2025-01-21T10:35:36Z,3161,2763,598
tryolabs/luminoth,2017-02-16T15:07:46Z,2025-01-16T01:31:20Z,3123,2403,398
tradytics/eiten,2020-09-08T03:09:46Z,2025-01-23T17:43:55Z,663,2833,335
microsoft/pai,2017-09-25T11:24:51Z,2025-01-15T06:47:29Z,73875,2646,549
ybayle/awesome-deep-learning-music,2017-08-15T17:36:33Z,2025-01-23T15:23:14Z,6156,2845,341
apachecn/fe4ml-zh,2018-05-17T14:05:46Z,2025-01-24T09:03:24Z,15304,2515,678
BrikerMan/Kashgari,2019-01-19T01:53:28Z,2025-01-19T04:36:36Z,15036,2394,439
anfederico/clairvoyant,2016-09-12T18:38:17Z,2025-01-23T16:34:15Z,10385,2426,770
rob-med/awesome-TS-anomaly-detection,2017-12-19T15:05:20Z,2025-01-22T11:34:57Z,144,3004,455
alibaba/pipcook,2019-12-05T02:40:40Z,2025-01-17T02:28:18Z,17670,2553,208
bethgelab/foolbox,2017-06-14T13:05:48Z,2025-01-22T06:48:26Z,11253,2817,428
ARM-software/ComputeLibrary,2017-03-10T14:51:43Z,2025-01-21T06:54:50Z,870670,2899,787
RasaHQ/rasa_core,2017-09-18T12:07:12Z,2025-01-20T15:41:38Z,1059972,2339,1016
dblalock/bolt,2017-02-01T23:11:16Z,2025-01-24T15:27:28Z,354794,2478,171
asyml/texar,2017-07-22T19:02:05Z,2025-01-17T14:36:48Z,14241,2383,373
mljs/ml,2014-10-27T13:04:38Z,2025-01-19T08:19:06Z,8747,2641,209
NeuromatchAcademy/course-content,2020-05-10T19:09:05Z,2025-01-23T17:57:45Z,5121177,2708,1001
jdb78/pytorch-forecasting,2020-07-03T13:05:24Z,2025-01-24T14:24:26Z,42304,4106,648
mljar/mljar-supervised,2018-11-05T12:58:04Z,2025-01-23T14:00:07Z,9867,3095,411
luspr/awesome-ml-courses,2020-05-08T20:41:59Z,2025-01-24T09:40:28Z,34,2819,295
yunabe/lgo,2017-10-05T15:29:10Z,2025-01-21T03:22:30Z,992,2443,122
scikit-learn-contrib/hdbscan,2015-04-22T13:32:37Z,2025-01-23T06:31:59Z,29117,2841,508
dragen1860/Deep-Learning-with-PyTorch-Tutorials,2018-11-26T04:21:46Z,2025-01-24T01:45:25Z,91436,2900,1297
seungeunrho/minimalRL,2019-04-23T10:57:44Z,2025-01-24T16:24:03Z,62,2919,461
tslearn-team/tslearn,2017-05-04T13:08:13Z,2025-01-18T22:15:39Z,7450,2933,346
reiinakano/scikit-plot,2017-02-04T06:22:59Z,2025-01-18T13:57:48Z,3119,2429,287
libffcv/ffcv,2021-10-13T17:03:39Z,2025-01-24T09:51:31Z,3449,2884,179
polakowo/vectorbt,2017-11-14T11:56:32Z,2025-01-24T02:49:22Z,750870,4673,645
google/tangent,2017-10-26T20:02:46Z,2025-01-19T09:00:02Z,25786,2316,436
khanhnamle1994/cracking-the-data-science-interview,2018-08-09T07:57:57Z,2025-01-24T16:26:41Z,246902,3818,1061
weslynn/AlphaTree-graphic-deep-neural-network,2018-03-06T08:37:27Z,2025-01-22T02:59:20Z,94575,2811,601
parrt/dtreeviz,2018-08-13T21:45:15Z,2025-01-24T15:50:21Z,192381,3006,337
hora-search/hora,2021-05-15T07:46:32Z,2025-01-22T04:21:53Z,14854,2611,73
Hedgehog-Computing/hedgehog-lab,2020-05-13T05:40:18Z,2025-01-24T00:04:31Z,29630,2364,140
thunlp/PromptPapers,2021-06-05T07:21:58Z,2025-01-24T08:51:55Z,199,4132,383
BayesWitnesses/m2cgen,2019-01-13T02:32:55Z,2025-01-22T11:46:32Z,1284,2841,243
samjabrahams/tensorflow-on-raspberry-pi,2016-03-12T06:26:47Z,2025-01-13T08:06:34Z,275720,2245,495
AakashKumarNain/annotated_research_papers,2020-07-19T19:05:19Z,2025-01-22T17:51:34Z,314488,2711,265
protontypes/awesome-robotic-tooling,2019-10-24T15:32:17Z,2025-01-24T07:21:34Z,1911,3355,494
ShuaiW/data-science-question-answer,2018-01-15T01:39:56Z,2025-01-14T03:28:34Z,2424,2419,657
PizzaDeDados/datascience-pizza,2017-07-18T20:37:32Z,2025-01-22T00:23:09Z,882,2379,483
louisfb01/Best_AI_paper_2020,2020-12-20T17:27:00Z,2025-01-21T07:52:24Z,189,2232,238
fbdesignpro/sweetviz,2020-05-09T15:25:47Z,2025-01-24T12:29:14Z,16017,2976,276
deepmind/dm-haiku,2020-02-18T07:14:02Z,2025-01-24T15:12:05Z,2793,2943,234
zvtvz/zvt,2019-04-04T08:06:57Z,2025-01-24T08:12:45Z,44548,3356,879
kaonashi-tyc/zi2zi,2017-02-17T23:18:04Z,2025-01-24T16:36:54Z,46887,2585,481
hoya012/awesome-anomaly-detection,2018-08-29T06:33:25Z,2025-01-24T13:04:17Z,2407,2773,516
EliteQuant/EliteQuant,2017-11-21T05:28:40Z,2025-01-24T01:36:52Z,1256,3096,585
salesforce/TransmogrifAI,2017-11-02T16:15:15Z,2025-01-20T01:45:14Z,128581,2247,396
trekhleb/nano-neuron,2019-12-05T07:54:21Z,2025-01-18T15:17:06Z,301,2244,120
PetrochukM/PyTorch-NLP,2018-02-25T05:00:36Z,2025-01-21T03:47:14Z,13169,2212,257
krishnakumarsekar/awesome-quantum-machine-learning,2017-04-26T11:03:50Z,2025-01-24T16:03:26Z,10011,2802,683
paperswithcode/releasing-research-code,2020-03-05T14:47:45Z,2025-01-21T15:58:49Z,574,2608,715
QData/TextAttack,2019-10-15T00:51:44Z,2025-01-22T15:37:00Z,26543,3046,405
explosion/spacy-course,2019-04-15T11:17:06Z,2025-01-23T13:14:18Z,9467,2337,373
microsoft/FLAML,2020-08-20T20:46:11Z,2025-01-24T11:38:05Z,210530,4028,517
ajbrock/Neural-Photo-Editor,2016-09-21T14:53:36Z,2025-01-15T03:20:30Z,13104,2075,194
extreme-assistant/ICCV2021-Paper-Code-Interpretation,2019-04-01T04:19:27Z,2025-01-23T02:57:50Z,714,2294,1412
ethen8181/machine-learning,2015-07-24T03:35:49Z,2025-01-22T07:15:54Z,465070,3219,648
tirthajyoti/Data-science-best-resources,2018-12-27T03:51:46Z,2025-01-22T16:33:16Z,9369,2986,1005
benedekrozemberczki/awesome-decision-tree-papers,2019-05-11T18:14:03Z,2025-01-22T07:27:53Z,891,2389,337
mne-tools/mne-python,2011-01-28T03:31:13Z,2025-01-24T16:05:34Z,165103,2822,1341
benedekrozemberczki/awesome-community-detection,2018-10-10T15:17:30Z,2025-01-20T17:52:09Z,2316,2344,362
deepchecks/deepchecks,2021-10-11T14:48:38Z,2025-01-24T11:04:38Z,281013,3682,259
MLNLP-World/Top-AI-Conferences-Paper-with-Code,2020-06-27T07:58:07Z,2025-01-23T10:13:54Z,4428,2610,603
deeplearningturkiye/turkce-yapay-zeka-kaynaklari,2017-10-17T20:19:31Z,2025-01-24T10:44:23Z,235,2320,450
hardikkamboj/An-Introduction-to-Statistical-Learning,2020-06-13T05:18:05Z,2025-01-23T16:31:06Z,20916,2379,607
lukas-blecher/LaTeX-OCR,2020-12-11T16:35:13Z,2025-01-24T06:17:59Z,9503,13312,1069
dangkhoasdc/awesome-ai-residency,2018-04-17T04:47:40Z,2025-01-24T08:33:36Z,134,3125,269
google-research-datasets/Objectron,2020-10-19T21:58:41Z,2025-01-22T02:57:18Z,40804,2253,262
